Block: 522
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
9365 522 2022-02-21T07:58:40.609Z 2022-02-21T07:58:38.001Z 5eeb8c8b4e8917e41087b390833c26451a8f292ec33f7ab87f09513f4df68f6a 471ad543ad6b80ee6691a90f8aae528f73c6ddf62f8d40d67e9d3de4af7857fc 33ea96a107e09b0adc85c47d03f72de48ccf40eb0dc1500554ef2c58b4d51a00 878705ee31a869170d4e4840a3ffdecdaee4dec74680a0ac92b3b99a1b5edb79 878705ee31a869170d4e4840a3ffdecdaee4dec74680a0ac92b3b99a1b5edb79 CRE 1 032a1e6cbc71f1a5d7da79eccf30d31b3547c528caecb89afef17be819db33cfda 03b14361bbb0a76745f80734e4f18c67aaf2c26f2feb3fe5002411eed0cf1b47e4 lryayH+Z2LsakYuvMz44SrxJVFnXCn6kMh8OsIq2GSUCOFb+tyzfjf7Ntqil8ALs98NQYUUF8L766IhzOnxUEw== 878705ee31a869170d4e4840a3ffdecdaee4dec74680a0ac92b3b99a1b5edb79 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 2s3zI5WWOIKLlJI+yzrJ8y6iUMxrvD+vvHvdOv/qPh2t2E2/KCVwSinxrllIkX5l0RuFHGYwOFCU/drc35kJ5g== 1H1OpkoAXCEnWPz6bsOC4+KEBwb0aQzaFOr855sH/ngiik+ZSv6p/qi+1L3/uQmM6KPoy2acSV/hv2wiGQO10A==
9366 522 2022-02-21T07:58:50.271Z 2022-02-21T07:58:49.427Z 13e115330fb44310ec75c3b1b8b7af7aac252a6841fc1e4f4c66bc6c14d6ccf0 13e115330fb44310ec75c3b1b8b7af7aac252a6841fc1e4f4c66bc6c14d6ccf0 13e115330fb44310ec75c3b1b8b7af7aac252a6841fc1e4f4c66bc6c14d6ccf0 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 521 03a04cf05f927a264bdcc203bbb2acf0187bededdfb678a0a14aa0913d043d9971 032719c338409ebee60a414da1cca6a7d840460fa24c51098a995ef9c137a41cff aV0f41M++ZuWby0n9zduhsjQnjg5k4Ra0RowWqTOL09nCWoNFHBFqeTjCD6r3v7E8gSAEaVGk0Yb/l8I1L9VDw== 13e115330fb44310ec75c3b1b8b7af7aac252a6841fc1e4f4c66bc6c14d6ccf0 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 8leSnZQp87PReNPNNanSL63P655yKPKMdHDTxsbrNmB5zsyodYdLS0n4k9nrl5O5AXpsDq6VV3taHd+OPS/LMg== Hmd3g28orKQDbGOzoQtVH1fgocf7NkUnczfvh0B/4gmxyS4t4xcRdeieUHWa/CNZWVD4Iv4enqi2cFSv0rAklA==
9367 522 2022-02-21T07:58:50.648Z 2022-02-21T07:58:50.459Z 1b59315da27b04497f96b633c1b9de70a373091f507eafc39592fbae195e6ee3 1b59315da27b04497f96b633c1b9de70a373091f507eafc39592fbae195e6ee3 1b59315da27b04497f96b633c1b9de70a373091f507eafc39592fbae195e6ee3 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 521 0265facd54e9b4e9ed8a62fd39356b937dae0568eba9cd583a418ba666c01a78f6 03384a940cf2a089df8f07a9d3b984a8c17a54e246ada50e15a4b8075e3e1e1087 gi3XO1jThNW50iXRi3zLm3qXWJMshRYQo8hSX6BOaiGM2VHXmzDR9I8qBmQbzGIAK5l5eRSRZyPAIKbhk/0fWg== 1b59315da27b04497f96b633c1b9de70a373091f507eafc39592fbae195e6ee3 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 kDwT/VADT5OxdZ9bmH4BlsCQlIShpPYj7RI8Tckgu1UxtrfrgATCswyu7Z0IbihI3vl6oib6pIFGTyJ5tBEBiw== 5k4KNEQwnVTwyfZg+G9Rjh9XqN4fTCMz8vBMoD4/kLEvs6/J6vH0q4Ksg/R32P1OaZZiQXmTODkW1IIZDcGBlw==
9368 522 2022-02-21T07:58:59.959Z 2022-02-21T07:58:59.587Z 2d2cfbe1dc0dff2b22949d847aa03be65e448851851272a932a01fd10754a893 2d2cfbe1dc0dff2b22949d847aa03be65e448851851272a932a01fd10754a893 2d2cfbe1dc0dff2b22949d847aa03be65e448851851272a932a01fd10754a893 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 521 02ac1172af7fbf74616f2c27004754f70a68e4c1d2a41ebd62217840d7280ceebb 025c5aa32bcb376fa0bf183dd3738000245d38decfed660b70997245c2621ff024 gbRARspfn1gkyE44/U1I9jpGR8AUEKuPTnf8ENQkjbkzDCH9WqOIW7PeioeeJHAG9tx3jzMDtN2MR8D3jjcuSg== 2d2cfbe1dc0dff2b22949d847aa03be65e448851851272a932a01fd10754a893 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 4yCsP0T9hfvBk0I5NP7Yn7DNBqmriahlX6fC23YjOI3RmIdRB+vQDpsXI2iqVDxuPII0JI/KlTWnJxCjJQw8Cg== YAzeJqUYaK0r53d+Yn1cN0I5Dd8yDWBZGGrpBx75LfopJhCLMnb3w7qrZ0PiBt3yTRYixFR3tkJ8Xjgmjz6CHQ==
9369 522 2022-02-21T07:59:01.136Z 2022-02-21T07:59:00.104Z 2778f0993e5380404a9147c07ea98c3954c0dfcdb9f2a985ae7e072167dccc5e 2778f0993e5380404a9147c07ea98c3954c0dfcdb9f2a985ae7e072167dccc5e 2778f0993e5380404a9147c07ea98c3954c0dfcdb9f2a985ae7e072167dccc5e 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 521 020aa36faac3d5e3a2c31f57eb58061992dfb6f50ad0218f850ecd14160f9063c4 025cad3205832e396aedccf5c07fb5ec04b7ac67c9c90f57881447d8889bbbc873 MsrAQ077KuDjvxviYTkY4hdtSExnwm9mtvFke5k8AYI6kV3cafRIVAnnKRMIOprEcwUIeQ7fVvl5AbuELPpGmA== 2778f0993e5380404a9147c07ea98c3954c0dfcdb9f2a985ae7e072167dccc5e 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 fd9AtHROZCvJ2cvgwnVGeGIzdkbPNZz2TpvYz5aRjbq2mp7cAbHJ9Ipe7ZOMnE/9Piama7qgt0D2Fse0x1GrWA== wr8Nu7Ys7T4cOjAGO7vcbFrW99N9bxIj9e/Xo1661xmCgi4HYB0wD7rtWd30IVS/VyVFbhzelsN/b60ecC0oMA==
9370 522 2022-02-21T07:59:01.301Z 2022-02-21T07:59:01.050Z e403cb66702e3ea398646cd1f8ee6992b22eb8d435223f91ebd0ae17bd2ede63 e403cb66702e3ea398646cd1f8ee6992b22eb8d435223f91ebd0ae17bd2ede63 e403cb66702e3ea398646cd1f8ee6992b22eb8d435223f91ebd0ae17bd2ede63 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 521 027664796d3a5a96cded0e5c3d8066b51e7f6fc7854dda3d09848b10ebad1a18e9 02b1e6480adcd2b35523116864540a5e4ebb98738e5ba8e3bd7f6285d36343678d /AgwEfjrDj4NxdiUjccTDvaqu5zdktNE1E8IGPd9Gdvrhd3gPs3Dal4X6e61F/k9nosKRaf2YdgyI8REu1qP8w== e403cb66702e3ea398646cd1f8ee6992b22eb8d435223f91ebd0ae17bd2ede63 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 4OJpNhvI8M/sJnjpjtb3W7N5QGDq8UcEDrXdG8Ei2qFXLQnlJbBXnng14BAp41xtWoU7qvANPWm49rZrs8TXcg== UmM9kc+FjQ83C0fCR/fORGcW+oCLRm8BY5v71OLGmN6FjjTYE0ZgM11m/LtHbEy95UfKLjbyXV+bfd1K/6NtCQ==
9371 522 2022-02-21T07:59:05.995Z 2022-02-21T07:59:05.725Z eb9822aa1e8735678d8cc1c03ced8c0245f090f6d6e199b5adb9b9965ac4c966 eb9822aa1e8735678d8cc1c03ced8c0245f090f6d6e199b5adb9b9965ac4c966 eb9822aa1e8735678d8cc1c03ced8c0245f090f6d6e199b5adb9b9965ac4c966 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 521 02c1f69c7de3dae601fd90b12f1e4fb976ca9f93a692b4f08a3e75b6d617c4df09 034962f1e906211531d263e061201d347474d06ce19b2bf0817c55db9b71eb4926 6On6uOa3niwiDSVOGXN7g4wWDdnKVoSaqvWK7rhBGRAfC7OWH2guIpengFQfLW5C/eAQlAp6EG+A/8V4tQ34cg== eb9822aa1e8735678d8cc1c03ced8c0245f090f6d6e199b5adb9b9965ac4c966 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 KtM8iuHBsb/gIp6m7jC4pQh/M0rDUCw49IcAvG9vMBhPTmwax2FPk5BfIxWyHYU177en4RsSEzI76AjBZYOXxQ== gxMRScVbUWThAS1mXY1Vr0CvbHz6AFMdhbEsyeM4Dg8sjDxB7LNFRcCcQgJAeho9Og8c7B5F0OF8VntmtSjR+A==
9372 522 2022-02-21T07:59:09.184Z 2022-02-21T07:59:08.895Z d027086f87235c1e8a3b13051a2f6ef65973b7c00a9ac6b68ce6bffe2850cecf d027086f87235c1e8a3b13051a2f6ef65973b7c00a9ac6b68ce6bffe2850cecf d027086f87235c1e8a3b13051a2f6ef65973b7c00a9ac6b68ce6bffe2850cecf 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 521 02be3e680e8351192f99f4ae9d8cb63af4f0cc9d70e7b479dd759706ade2497e40 02ee14f9afcf870d8c92bd0f3963c29e7c630a3f8eb859fb8bc031d02008a945ef TjoEtUl+OATHDPjCZ6Td983tBI7Ex4vwMkEwj2t15Sn6Kzg0BLboKVV/ANo2juLOtEvdPHNlVbHbCXFlVc+rBg== d027086f87235c1e8a3b13051a2f6ef65973b7c00a9ac6b68ce6bffe2850cecf 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 mu5RcYfpyZMo6ID7ZuJ//JQt6YYtuH05NbdiV+K8b8LFTMcmSVWXFcYALsVxShlkHRPPhONGMRLGibZMPagSaw== 7Dc8vYU/zWeAwvc/CJcnkKy3o2cDThgWAfSEKdCYJZhwGo/FmPBx/KXJ7upIbmhVPx3crpE/eK+8pllPT0bNQQ==
9373 522 2022-02-21T07:59:10.533Z 2022-02-21T07:59:10.281Z d46206f723924f520a65765319d720bf8aeb6cb8515cfca2c8f61f7050e7098d d46206f723924f520a65765319d720bf8aeb6cb8515cfca2c8f61f7050e7098d d46206f723924f520a65765319d720bf8aeb6cb8515cfca2c8f61f7050e7098d 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 521 02b3d2e83f663bb540a32052d3c11a04a457c50c9d937088b83d89a94b4370bd75 02b80b19872cd4ab72b78548e3c6284163456df85966326f146d136accc345c50d 2FomsxbfBE/VuuFHOw/b6Hgj43pcliBq289mJWlhAAVA8/dwnvWmeh7JmyuO2z05P59+KuMMiaaFgIIATsy18A== d46206f723924f520a65765319d720bf8aeb6cb8515cfca2c8f61f7050e7098d 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 yY55P4cUdBM9z5HvgVPsy1Vp3YynFunk9+klkerf1q/xb3VECh+m4JzNM9hT1E5XqhHqpbxiUQCw5vOZ9BIVcQ== hh3lNCAwYhyFOjWdEAGIn0Wf2hYsa90gQVYIzevsQg2cabIFqZr4YEtbEoW8fCDNeH3XFe5Khnluo/0ByAm3VA==
9374 522 2022-02-21T07:59:14.926Z 2022-02-21T07:59:14.630Z e8b0cf846b34f63c8d49a0ff2617f675bfa9efe68c1b2aca0789a5e68a77eef3 e8b0cf846b34f63c8d49a0ff2617f675bfa9efe68c1b2aca0789a5e68a77eef3 e8b0cf846b34f63c8d49a0ff2617f675bfa9efe68c1b2aca0789a5e68a77eef3 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 521 02ee124ec765bd19ad591703e62e50d79dfd621627b4af81d1494c3b671c5b5a04 021a5a552afe52a0b7a6e8410619b741504649533d24e06c9d91ae2e3006d84a2a FD9a6yXDLvY4ERVCgqT5VBWYjCCo8P/EQ6UrYv/8ecsUSSgjR1kXvvw2ZeHQUehGBlWj6XcQlIPA9OkGqrR4Pw== e8b0cf846b34f63c8d49a0ff2617f675bfa9efe68c1b2aca0789a5e68a77eef3 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 y0lMWz7tyJ6Drr7KLWTFVKs37qNM3RfFLMSUOaFbumByMwlo6yU+TMRa1KQK6/tUaBkUd7MrF4E82oymYbUsQg== su6wJ4TGTW3hOl/7+v75xq5m/A52JjydxJSZ2Vxfe0FYvWbgqoWn/Yv9vRNM5dNJawbnrxJersd5L6YA+8UeEA==
