Block: 264
Row TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature VersionSignature LedgerSignature LedgerSeal Block
4658 2020-10-27T12:31:33.775Z 9b72d58ae792933253f6c6dfd5e047de2df89b11801f8bc87cd6dca5a7044461 9b72d58ae792933253f6c6dfd5e047de2df89b11801f8bc87cd6dca5a7044461 a6bda48dfe190800e7d29157d0be1cb3b92165fb56169a1916d3f35a9a69a2c3 CRE 1 02e8ee09c3f94ab1841e1c69bf5f200bd5a1a81c8d840d547b941a9b64ad9bb64e 022beb35bafdfa827e53b7979d852980277097a3d335558412cdc19ff282f62354 uyzZWOUfPIEKX99tRtbLhOj/N2cIezK+jMpxot4L3b71jOepV8Z5vLajrst38xG7nH+/kdulXUSlR3AUMt0wFw== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 HNq7RW+fGPWkEGnT9t4VflMlDBlGp/k2czTCgwFyt5CZRzFKQvkiu8xB+dEcQDa6GODNnE7gt4ZR2pwY80I/5A== kN7vuD8gYWwNMZohY9ncf5iyAU7Svea9xZ9XagE7ViFHcZ7M/DRP6kR6xnH6pDarkYrgslozejN2QbkxY2GxIA== 264
4659 2020-10-27T12:31:44.86Z ae4a39dfd01fed39c80a3d55f8d7ec642cc4170c973625000ef90874c6cef606 ae4a39dfd01fed39c80a3d55f8d7ec642cc4170c973625000ef90874c6cef606 ae4a39dfd01fed39c80a3d55f8d7ec642cc4170c973625000ef90874c6cef606 HBT 263 0249851cc19bee20b1a5d01e30a6a58ae418adbcbae35fa594a94810786fc2161a 037b768263e1df37dcec2db01fb62199988bb65942ca1fecc5f31b50288022d248 hagKFnCtwG3JfWy3CrUZwvtNWNhsO3O1ErJ+KjCtT8M/MgF3tq1fwST3yB4oK1EIxQLNmb3fxOxxOJD8Me3W7A== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 luno3ix9nVZOPWSEsQKXn1TXN0++vYbThnZbEYIEgl6D7PNUcBvp1O2sCCHxDAIa/ULuAr+aBMhShD4Gkllohg== orWdUQyghCuOJMirD7Hn6d+u3QVe4IQVCMtuf77Dw/QLRlZmZZCHdbS07YzKZdTHz9v0gl1z6MXN9vQNytcuhQ== 264
4660 2020-10-27T12:31:45.558Z 203d9cbf302558d3dc6ca3edb643e00a39dd403f78c0ab1c2b8a476ee85737d1 203d9cbf302558d3dc6ca3edb643e00a39dd403f78c0ab1c2b8a476ee85737d1 203d9cbf302558d3dc6ca3edb643e00a39dd403f78c0ab1c2b8a476ee85737d1 HBT 263 03db355bc891a819a6b72cc20e77c7dbcc675c5cab1fe7b069aada1346a9b7dd8b 029e911d4fa90df072e6dbf8277b866561e92a6e414d6efdec6750914cdf95d276 ZSHw88hED5FkvUMQbZKaa0Wv3XToI9GyEJ6G8euYbYkNVFOE1XsGLLIbddhB9xBHVB7nM6VCwHm3iddpzUO0iw== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 xcjdEAvs6dPBEQLUpFsrfP2rnTgczKXlqzl0M/yHtVpuSSQa6htdn86zQXCG9WB3Ooc1chSKrD3GTUzvsVj02A== L1xf6GLjBcaHHpxbOpLUhxWuElLIkUpiyyqhpjFaCNS0FdBwLGmhrgIAnnrhTDmdnBkhk615QSqelPyiHm+ftw== 264
4661 2020-10-27T12:31:45.587Z bb6963092ca7be5745299338c64c534ea425a172dbfb2f9fac639ee84a83e189 bb6963092ca7be5745299338c64c534ea425a172dbfb2f9fac639ee84a83e189 bb6963092ca7be5745299338c64c534ea425a172dbfb2f9fac639ee84a83e189 HBT 263 020aa36faac3d5e3a2c31f57eb58061992dfb6f50ad0218f850ecd14160f9063c4 02e2904449821bff7d4965c5529fda43400b70e60f23a2feca0fb3728546702b7e 2aIGOI5je18ihGbvab2DC7U+JTLk92nDPHKHO5py6LO6rTxhOB03rJDYWNS2Ko+UaoS6d84GF2VDbwvPHVStyw== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 SSaAVX3VA4Nw4OVWt+/NT+Q6ERBXg8/I9rRlkoISvj9mv54frG6xBbfi8LsCYqnqRR0mrBWrK22SWg1r2Fa71Q== DzWII17sINQZlGAifXs/DygfCwF37BTfKPKy/ZcgKJCjus+2J1KS4vkgTFzejIWFaFFpDfsV9BphH9gr6HESAQ== 264
4662 2020-10-27T12:31:47.197Z c3c087faa910bb9b08d0b435e1378eebc6c81605e5a6627f58a834d5e81d605f c3c087faa910bb9b08d0b435e1378eebc6c81605e5a6627f58a834d5e81d605f c3c087faa910bb9b08d0b435e1378eebc6c81605e5a6627f58a834d5e81d605f HBT 263 0290f1aae4604650ad9ce593cad726af431dc70fa6326eb53e9fa599412f8edaf3 0274ec2dc797ba2d18da4ab8c02df873126d992da1a5d562eee21f79313b2e8fe9 +xE/iXQiZEHZVVGhdb4Lfl/XvhXyaBQKJmumu4CX/tZp+oYjq52vM6nMgGLYaaBkF8X7pPwOdvPSP3dXK4DLhQ== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 1sONTjIZGz6wNJ/+ITJw1ysa+14WK7hEtBtHaO73Fe2KazeeDsPIAfL2+kmvTO/O8D0JPmUr5EACQ465OCGHcQ== 4oE4ZQX86wnFWqaI/2BSR/n8EJCOJtjFchSvTj0spryqYNXvn0w0e3MpjePuUIlowG2tN1KkNYnbV0+jINupCQ== 264
4663 2020-10-27T12:32:08.58Z cbc715cfcd38ea3c5ef7099f55b1e8eb3ec1ca5ced7620f10ee40cce5298b083 cbc715cfcd38ea3c5ef7099f55b1e8eb3ec1ca5ced7620f10ee40cce5298b083 cbc715cfcd38ea3c5ef7099f55b1e8eb3ec1ca5ced7620f10ee40cce5298b083 HBT 263 03c9aacd2681a1681595d1ee561491ef7a390179f0b1bfcb171b64684735acbe5e 0288a4acc094b09172597c5b10fb665e5a3fdf7d56d0f12b77b4bf80c159187a7e M3OEucumvSbR0No/OJTwGvqvtC9QBRjMfItmcx6u6zODVfl/lUlQVkvqjRsdEoRgf/Td/V+FY5RGgY/Uqvn1qQ== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Oq8qpIsmncW8SHEtNdB2qnqM3rUrWT7WuZbKGQEcSBWnVtLOa3hA0wLaIUhXcZL3kvkL/boJD6gV4A/aRcSWZA== KDsr7tWd5WjHa94SNQSiU2oPZ8GUtXx9gRGj2BM91aSxG8ENJQS43dlakoGzgMcPGeTF0JPDK/fW+XcJCDz2cQ== 264
4664 2020-10-27T12:32:08.617Z b97cdbd15dd8bbaf380d1ef3082c81560bf9874ce38953174c7ab47cb9c34270 b97cdbd15dd8bbaf380d1ef3082c81560bf9874ce38953174c7ab47cb9c34270 b97cdbd15dd8bbaf380d1ef3082c81560bf9874ce38953174c7ab47cb9c34270 HBT 263 02ea8c9a94c51d331cb6197c657ec8e83758d20da6e0d6ddae6272e3e9a8de13d1 02f3875d667d7f2c2835331d827602a8d2808149a460e85642fef6bc28c53bbc3d OXfa3loC9AOhvjKwk75GRDdn9WSGJLw1xDRYBe098CFeVbZCxnUcvPt9opBHJWBTPpPn/4vzULypcmSOc2z9xw== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 TVUrwCRZHF8s0acUua7pShDkMDcSi4ibiVRXdHleeNeDVcS7GmPrRq+CWQCp5JFIKM64tYIQcpQSJe13MThP/A== zpaNyPSUpP+llM9KN6AqGoF8chebTVtEs4PmYfpibwnK1GtDAMD0C+wUe1huqvv0rXQYO7qUlvr1Bv+fZTmQSw== 264
4665 2020-10-27T12:32:12.794Z 127bda5c869a800ca058a0b1864d91a0e016786368552a2cdbebffd9a74e7cbd 127bda5c869a800ca058a0b1864d91a0e016786368552a2cdbebffd9a74e7cbd 127bda5c869a800ca058a0b1864d91a0e016786368552a2cdbebffd9a74e7cbd HBT 263 027b95a0f1b58e5318366486f89d860875b4e4194e2220897afe903bc80abb2b76 0371d0e1ec1df7ce911811fcaf1d68a34a5747f55ff087c59d54da2b9dc9b519be fg4V+A5PTBf+BlYrhB9oPGwrl8nJdR0p5GTVgCsPI5GhK7l3VX1PG5pCBY0duTx/tOVsDHq4jH94PfdjruzKsA== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 aKYy8cmeSHgzkgcmQuW2t70bxKy0xOQMj9Yu21YsJ25jcoFfAwR/VXhz5TFX3IR+ppfo6t3hzONyeAUzcK0dpQ== xdQ+ZbMUSK8KtuZhEkfagXhU5rGDfJOAw2Zl8o9OUNJB5HQguhaiSXkdGousoyrVTGx0SkiKStG39Gmz7NWuSQ== 264
4666 2020-10-27T12:32:27.095Z ab9ebbc4a68ebd530186246b6e6b87e65065de983351342bc98edd25b48b858f ab9ebbc4a68ebd530186246b6e6b87e65065de983351342bc98edd25b48b858f ab9ebbc4a68ebd530186246b6e6b87e65065de983351342bc98edd25b48b858f HBT 263 020583f73a89c40bc84a1768356c7fece734a1d138cfabe0c1265a6dbc14a201e5 031e7a37b46823cfc2f38ee30ac62c700275acbb341ac0094862b9b2a09917ffb1 MzIqLBrq7VJXHzPXOduOimFlxFv7jskYcFbG4NyhFTCRW2GQUqa4WE8VLXbwJ2pq5rSNUr/gso5Pgt3Sh2NgGw== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 yStALqa5V6+ktqVEIEfiUyBX1su/WmmEx/HSoel+dR0+h8tsSYq05DVCK8RnaT1jIzDbMSEAl6etyHOE9nh/kg== J0CWE8x+XckQm/9WnZA8s9v2BHbWnIKY9mJ++YlkN0EVcLEEC0A8VpLpHN9uvSrOXS4PmPgZBqr6j/gpd7Vh4w== 264
4667 2020-10-27T12:32:27.388Z e80955b54900a3edb4b5d410ce96aa1dcb98a2c22000063edcda9ca387be6e74 e80955b54900a3edb4b5d410ce96aa1dcb98a2c22000063edcda9ca387be6e74 e80955b54900a3edb4b5d410ce96aa1dcb98a2c22000063edcda9ca387be6e74 HBT 263 028e11d7a5fa0bd74e180ffa332eb023b331b46d55be25737ec9a4bf6e502b6d22 03e7fc4c9e4ad5f082bab43300e016f19acbc4b7d56ca7b05b1ed2dc53e81a1cbf K2xYzaFEkber4lB302GMQNDwZSZ8OsvPtjYC8MQe6K0sfd0xL02n4Yos8W/mkv9QPldjEPMfSTOOjRg8cyYv8w== 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 t3+/rwiZGyHFymLQoU/B+yzdkB/mvX0eqMiXQxFAxlI3XDy2JIA5IoULckbh6WReeiCg3HqEFvpEwaP8oLI5KA== zQU6lnF9F4uLA6bB6sZuiDWt+4eXg5ikdhEil/M5EOAUiBLQhMToOwDfFCCjCf9ZcumssdZ5F8TONs5zY2g4sA== 264
