Block: 702
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentCode DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
13281 702 2022-11-08T14:21:01.696Z 2022-11-08T14:21:00.696Z 6997f0bf09da97909801d829e3c91779b4ceb1d6be0348bd2e8cdce4a0ad6409 5f80a4d522e00c52a1884d75d82f9da987bf6500dfe8e302477c272d454f5c6e c6670673088bbbc023f0a63e485d5e384b46247484157091ba534b54451f2d76 3afe72754d811d4fd3e1bc4ccda131da93d78c1f960e33e7bb7718f25349b3a6 10f96541a0da6aec44c4117f2c8b71854807b95164e2f7f50ee0d6dd94a99ead AME NEG 5 026cafed12749cbf722bec5a08615f053ffc12faacf1b6c5f37b462c5fcb3b5263 02f9bef67e072f6241f1b85a4048f728d936cd1774328890747ef01004442383ce f0uv3wvtHKANidkidjPjyl/DoIx8/J4gUMll33/8vNDSO7PpoYflyhLHdGap1hlmz16A/JWxA+4fgpJyYwY1jg== 3afe72754d811d4fd3e1bc4ccda131da93d78c1f960e33e7bb7718f25349b3a6 8ul52aBhwjC2WROxXso4/SN36cRYawmBILC5VaGUWKrVTnPxw7loGeg27cpeqKLgztBrDPNOxr8LnGS+zmjG1g== sZ2gia6TgcAb7OmIJ485TW2/aeOY2WJjhh5T0DvBhiUZxFXUde6Cg0fxgZW0pu4IFFk0qK59Z3KjFaku8Qltkw== FEvm5aHvzl+RO8epVfyN+SxUiQv6UK5CPCcgYkWsLb/hMwV1+bpF/ZooM7aXyyZSsQ/NjPHi8oEme5RW49L2Sw==
13282 702 2022-11-08T14:21:08.022Z 2022-11-08T14:21:03.684Z ac8c6d5757ce9f6fe3b31c952516517d8a7d96479b21719c89de62c4858073c6 ac8c6d5757ce9f6fe3b31c952516517d8a7d96479b21719c89de62c4858073c6 ac8c6d5757ce9f6fe3b31c952516517d8a7d96479b21719c89de62c4858073c6 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 701 0288caeeb182cf0c364192bcd62f27f14d660b810822741fba4a3e2b751aee7f66 03d0c615ec091b79e3b3ab2eca6c21f696032b5ed0f7eab9ba7b2b83f045298bbd KHfif4rQuKBmT3MvOQW3PqdJTd50jhKFRuVTJDv7qQp99Nu9G83bXJlX3umNXipR0nTd2t/69R3zemWRSu88tw== ac8c6d5757ce9f6fe3b31c952516517d8a7d96479b21719c89de62c4858073c6 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 dfk+Xfrjh2U3rjmCdPaqEt43EhxnMxXmTE8h6bnMEXoRVaLBbjBy9C/JVdoc7iV312ZwCEByw+L1+Vv0QNiC3g== dW6/8JRvaTlzCd20xpPDoF4+DcE77cF1Pqc5X0i0fka3gSsqByGEg0eh+WiXtWjfOy4cU2H4un/+ZaHV/JYM8w==
13283 702 2022-11-08T14:21:09.582Z 2022-11-08T14:21:09.381Z 4d4fa080796656e85d6727438990cf8c374e7db0be1c018a9489000ca51aa298 4d4fa080796656e85d6727438990cf8c374e7db0be1c018a9489000ca51aa298 4d4fa080796656e85d6727438990cf8c374e7db0be1c018a9489000ca51aa298 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 701 02be3e680e8351192f99f4ae9d8cb63af4f0cc9d70e7b479dd759706ade2497e40 026f96652d113236639bc1f06f94986a328115e432fa2aef218b5134ce7bb11443 CcsC386JhQBbx31pu1GOM2BC33ke/y9rvvQ6Th9e3YfRvPlgVGRN9lNCpglKvAiBpvvrElqZwV9SfGfLYziyig== 4d4fa080796656e85d6727438990cf8c374e7db0be1c018a9489000ca51aa298 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 DaKwNInp1UjTzBiwUhQwtgYIlxRmw3Fm0d9dUuTlI3l4giirELKL7oCAZaNDSVuqkiUxy/IR/zpK5pOb7OylaQ== EslPwliPeAxBU7/wNlvMeLb6PQXTXrJMtQT4JWfKfsaG37G/xl4hWipzYhQ6KYDzXaWqub/6jpKiKcawv39Sfw==
13284 702 2022-11-08T14:21:11.305Z 2022-11-08T14:21:11.016Z c104d661f1d41e1205dca4734a6dabc8238652c5883248bd71b41c80f4532cb9 c104d661f1d41e1205dca4734a6dabc8238652c5883248bd71b41c80f4532cb9 c104d661f1d41e1205dca4734a6dabc8238652c5883248bd71b41c80f4532cb9 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 701 020aa36faac3d5e3a2c31f57eb58061992dfb6f50ad0218f850ecd14160f9063c4 02d342f4a49bd1d5f7f17af05062b2731884d33ac7d0fe74f633282b2e1db64241 9lZ+Ek5ogi6A+g0uw6xNkoS9acJDwSkoSK7G8wLzAnWQChytoonz/eKq2PLTWkgEYmCpIFeAMc2K5XEi+bHl5w== c104d661f1d41e1205dca4734a6dabc8238652c5883248bd71b41c80f4532cb9 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 18MmeKIzqi2DnoF3VrMgd2cNdog9ykd50OwULWrT1CyZ+d7Fvt5likusm+i+ooZBksufORoDe/fpUC5YhTEARw== a9yy+4TKuLojVQ3ad7pNlSq2qap9DWNWgFFLoXXsTCJCYaRtsu+Gmn8LONKjPnRDHtvOfQFZ+G2oesFZ/QH4eg==
13285 702 2022-11-08T14:21:13.465Z 2022-11-08T14:21:13.287Z e963ac9837e320a013b89d61dc838ea82535ab7fc08ab72b528e59938929a14f e963ac9837e320a013b89d61dc838ea82535ab7fc08ab72b528e59938929a14f e963ac9837e320a013b89d61dc838ea82535ab7fc08ab72b528e59938929a14f 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 701 0328ae1ebc8eba18e54d78d3245f7cc1cee6546f32b186b57af9f302cb1d1878a8 034e034360d5fccf18d0f7d52487a1e931a177bb126eeb2bda409b4010e613691c kPhkAr6K9LkYCeFcPP760yDM/cBptqk+r9d4grJ1oDzrp8TAXUlBMsWX1IEQK+e2Q8Cein4les3BQkGHWKhNqw== e963ac9837e320a013b89d61dc838ea82535ab7fc08ab72b528e59938929a14f 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 N5YvLni/UQSjRr/hCOcIrqHtYlsPXDwVqsfGHCiLdLkzqaxyd7/2r46/BTIzP8KHE3ygiMumcKIBd8lBnVQS+w== p6ZFfhqu718Ptx4tz3qZ2zjOjbSxfwlsun8IC1C9GYyPi+iZB0LIZ4ug57KmymHHJEMw2zLN+6Vor4R0It64Vw==
13286 702 2022-11-08T14:21:15.273Z 2022-11-08T14:21:15.226Z cebd18fc7371e4c8a4b6d9fe9cf76ab23d6f892b0295acd75435aa42bf4f4dd7 cebd18fc7371e4c8a4b6d9fe9cf76ab23d6f892b0295acd75435aa42bf4f4dd7 cebd18fc7371e4c8a4b6d9fe9cf76ab23d6f892b0295acd75435aa42bf4f4dd7 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 701 02cdd67ccfae1d4a99a4bb25bc7f530eb0d41edfc22364a72476c487038928a69b 03f8994bfa73cc6c98e0bdb5a285df501e4c0903cf5d01607b2f91d6f0733209fc eqHmW2zBYBY7voEKzn62kzBJDT3rv7K1fXbmparU58hmJS3/T4SFI53ouZS6KyZwbcZuM6w/lcT6aDYlW3rMVw== cebd18fc7371e4c8a4b6d9fe9cf76ab23d6f892b0295acd75435aa42bf4f4dd7 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 PQ+y7GoiD1L0ixi0pCZDUQhiwcswupe7I7QiMqE+JsLgPkvP501fF79eoI8aV5w9uy4lmXoEJ9FEvlBSfRGkkg== n4EU6xeAZI5+8RDAM7IMQzhG3kxn1rBGfA3bGgTTQsM6kVBl//rcoqd52Z5eUx0C/ir95abM9PBQEAcoRXc2+A==
13287 702 2022-11-08T14:21:15.505Z 2022-11-08T14:21:15.321Z c68d640894e36504496fc33b3e48f94f65e4ba596c00d0c402baa47b6863f166 c68d640894e36504496fc33b3e48f94f65e4ba596c00d0c402baa47b6863f166 c68d640894e36504496fc33b3e48f94f65e4ba596c00d0c402baa47b6863f166 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 701 024c979870f6cfa183579f459f53bd586ad75dbbf6d0bc37be912a1bdb26a7c7a5 03f99203451ff078d424bf7bb7a25ff21459766c0feddc2814270d0f75b428dd37 V3MYt2u1SfcAWmVymER0THieyboeF1HJITpnWtEx78oT5rj+XLafPQmHpTOWXHhnzRUMHrpp+0DwQgjn48JShg== c68d640894e36504496fc33b3e48f94f65e4ba596c00d0c402baa47b6863f166 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 S/MrjwQUzP9NfK46CMbBKVYY4UW4jcpwvNrY9s2Ep53VtwRzuRpSCM4aMcAjAOVXPF2FoT5iC6D1y1QXJlxv8A== W06/H7vL1nrWrVKeyQ/+GeBc4y74HdTjxo2ojXN+qUNUYPdX3fMmPPAuf7ewafdgkgI+WR6SpZTF8n3+W8f3yw==
13288 702 2022-11-08T14:21:15.865Z 2022-11-08T14:21:15.693Z b2ea89b49c584f4540014b331ce2b120ed525573467ac3ecafaae91a262d880b b2ea89b49c584f4540014b331ce2b120ed525573467ac3ecafaae91a262d880b b2ea89b49c584f4540014b331ce2b120ed525573467ac3ecafaae91a262d880b 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 701 02ee124ec765bd19ad591703e62e50d79dfd621627b4af81d1494c3b671c5b5a04 03e6f2f926b16439fcb7a7dfc3055b980292c4072ce65d4a6a8928e289f0ed3a1b GBPYgl0oUqlWv45ULqYWJAol9cv98WS3vIQLuP5SF1PsKvupZq9me+9Fj6zNPXSBUpvMXVrc+dsFXy2GKN1N4w== b2ea89b49c584f4540014b331ce2b120ed525573467ac3ecafaae91a262d880b 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 hzR+/xCs0jPW8LvxR7OEelg+3RKSNwAsH9dhaQDfydN6h9w/rC4/ohqOzrxTkm8euelmBhyz9a5B7tgc5BIa+w== KEQ+ex2yjFJ9sQawrpxQ2LN/XQCuk90lsejQTMNPmLhFHcTugQImeL2gM0v3WEpP6FzSM0hUObvApDwfreqO6w==
13289 702 2022-11-08T14:21:20.394Z 2022-11-08T14:21:20.133Z 3c1c977f7f7928747ae262cbfd40d127967107dec42dccbc5d423190d3a34f4f 3c1c977f7f7928747ae262cbfd40d127967107dec42dccbc5d423190d3a34f4f 3c1c977f7f7928747ae262cbfd40d127967107dec42dccbc5d423190d3a34f4f 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 701 0265facd54e9b4e9ed8a62fd39356b937dae0568eba9cd583a418ba666c01a78f6 020704e3a3f11f35561710635f582f24746cf229f27482ab471d2d1f3262a67175 nODcGje/vgjL15k4rzLKMC7cy6qtv4tI18ViwFHg7MW9eSKBfRLyRlUJ5jpSZzsZt76AxRzWPbdyOpvHRc5K/w== 3c1c977f7f7928747ae262cbfd40d127967107dec42dccbc5d423190d3a34f4f 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 h8V4dH3uQG1fZ5P5IRyF4M6pU0vHh++Je9jpMp0742xFP+lmWOKMkIB0deZqPTJsICsh0fd/33LOuWbolwOgeA== BON9OYPcOlZQUAvL/cc8Ul/UNzMu8G/FQIKAQbcadqn3UYBQeCQDZkSnYnq9+C4LWpsNnCeTDFkPWfwySjL9Ew==
13290 702 2022-11-08T14:21:20.647Z 2022-11-08T14:21:20.393Z e5908ea9668f2a31581e423099d19410c32a223085a86626be8bdb9127da4ddb e5908ea9668f2a31581e423099d19410c32a223085a86626be8bdb9127da4ddb e5908ea9668f2a31581e423099d19410c32a223085a86626be8bdb9127da4ddb 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 701 02ac1172af7fbf74616f2c27004754f70a68e4c1d2a41ebd62217840d7280ceebb 02e0e0b2e95d44c50839a7904333fcbe53b8f4bac1376c2a493f45348912db9950 F7BhStD65jbTelCPmi9LY5kBgtXx6CPO5BGTWD4fFm/GpNL/JM5SvUmbQ4I4vMVNkf22RLHvaeFHn7B4bwRv7Q== e5908ea9668f2a31581e423099d19410c32a223085a86626be8bdb9127da4ddb 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MBBoMeSD1Tx7BFDagx/6eBVs1NO6FhNNQ3UVn33oyDiw5qq/Ksyc44Ge1ws808mmBLaOVRFhGBoLA0htW4hulg== 0LAFbcQZzpfYwBEJ7/7qZByYp7VaRUMMw8VEdlpuTBuafhcAGLj5f38Ldat+M86pjNBA3HC2bRAjssP6DB9x9w==
