Block: 361
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
6481 361 2021-06-21T06:59:41.268Z 2021-06-21T06:59:39.887Z 777066c0d61314385389c62fa5668fb742a9a7ee9cb8c8a4318f4e144fcf15fc 0fe4581ffdb8bfb542b012449b58357a1e8e27aac2acc1998e240cab21c924aa 1cc38cbeda2dc5da48eb66cd60c148c8bf08f5c1cd2b3f49e9efb3be9b9ae6d1 b2135c8e174dc5dc833be4f49dab0a2e67cd8705217fe43125a182274d4ffb45 b2135c8e174dc5dc833be4f49dab0a2e67cd8705217fe43125a182274d4ffb45 CRE 1 028e8bd547e9f156ea619d4be16d7e9e9108366f87a11ed19a3fafd42814692929 036a0a8e3c5a680b41e4a9857544891ba533de84cfa9600daab1fe0437d6e1b89f wa8ESIddR5mpYPCkvR9x9jRznlAqfCsrVIoWZlx/3PgMHlBcAnQRonrd9uhzbOaluZpfGRriGzPlhw1zy60CRQ== b2135c8e174dc5dc833be4f49dab0a2e67cd8705217fe43125a182274d4ffb45 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 vY3KdS2FawmgZ7/a6fpd7v2WhY6WJ121cyncYpwex/a1OvlbV5wcsS93oLLa+UUc7zzvzJnGiGaL396zOi2S6g== lXykNQ/M5xjct21TjmQQMoWU9DAFhWhKxa8/yRKeXk7jMDaeBxxA9x1ppo4lFCgKDMd5W+m5uOrVTz88XhsCaQ==
6482 361 2021-06-21T07:00:01.038Z 2021-06-21T06:59:58.196Z accaf8f118f9c0ad813e95c6344dc6c126fd321907adc3e4d80a9a46c793ed66 accaf8f118f9c0ad813e95c6344dc6c126fd321907adc3e4d80a9a46c793ed66 accaf8f118f9c0ad813e95c6344dc6c126fd321907adc3e4d80a9a46c793ed66 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 360 02366e68eb94f7fc734a2cac2974d411b6da75026ff94a4a09f55fab094f588ed5 02e76ea4bfa7649cb56192a82d29744ec0aa0c4b67fcb92c9ac493053ba2f4d64d McbLpqULKOLJjzQOBYPIEri2+lBo8VFkJMMg1em3imG2xD3NFdCi3HjUkoFYP0Pn3e7UGY5ISkANlWLMnZ7t5Q== accaf8f118f9c0ad813e95c6344dc6c126fd321907adc3e4d80a9a46c793ed66 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 NITntiJSAi5qb60bceXpvaW406UrL22/dLZKrF+0XhleNlED/2215xjuUMysbSgqYfhuM10l0SUhVpHW6+cCew== GAqpYAXrdRuLnpehu0A2gp2yG+8rILOM9rFroV92e0Z+1IQs/o/t0HC/V/uH/EXKhuwGKcYLk+UBysJOvhCBrA==
6483 361 2021-06-21T07:00:11.069Z 2021-06-21T07:00:10.768Z 9ae56cf0c54efedd6649832a6dbd93c7039b0fcb119f144328657f25cfb586ba 9ae56cf0c54efedd6649832a6dbd93c7039b0fcb119f144328657f25cfb586ba 9ae56cf0c54efedd6649832a6dbd93c7039b0fcb119f144328657f25cfb586ba 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 360 02c1f69c7de3dae601fd90b12f1e4fb976ca9f93a692b4f08a3e75b6d617c4df09 03dbb804ac4bb037c709c19a03cdc6e3452a85a94b08b66d399db8632b228ed11a 4AigGOjg3vyMPuszTekY3BqgWilGfk3gp5W3cWnWZLIWuog9SRLg+c2LyevWia9zxn3XLQDdJCJ0Nox3m7D/gQ== 9ae56cf0c54efedd6649832a6dbd93c7039b0fcb119f144328657f25cfb586ba 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 h1jjgNLhvDdeCOCaV6F6Q4OQGxtvt5/4+kUCINL9q36qHW1BlIN5g+sUKDTsG8eVa/7Q+Jql+HpoazYAr98v5w== rPZEPx730BCnkgHTRbD2x2a01vMXVfO5qt6IE6xprVokMj/Rd0d7RUy3xi/mqorCY5RRYHeeLhuq9KuHD72BYQ==
6484 361 2021-06-21T07:00:11.182Z 2021-06-21T07:00:10.982Z 7012bacb708289992efee60811be7b7ef2a6cebbc54864c3a6eff07c6c27e0d8 7012bacb708289992efee60811be7b7ef2a6cebbc54864c3a6eff07c6c27e0d8 7012bacb708289992efee60811be7b7ef2a6cebbc54864c3a6eff07c6c27e0d8 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 360 02ac1172af7fbf74616f2c27004754f70a68e4c1d2a41ebd62217840d7280ceebb 02a05967fea7e821336feadeb0730584cb8edab4ee264695f683224a5d0bc92866 11Sk3rNwYtvksZKVsMqGyGEFs0YsQiRFqPyHaIjBBeJQn/QjKy3OO/BjiuQz3zv7bjGlrkSXW5oO+6ouYThcHQ== 7012bacb708289992efee60811be7b7ef2a6cebbc54864c3a6eff07c6c27e0d8 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 37ntsexUwIhl+Y4HpOjE1pdSbsu64T7RCJElOMC17ysf8gBO/o5inIuYxX7cQDFEZ3Be19r1keWKaM3VC7QlBg== 2CabcuujtlECSveN1ki4s6fL0YDFGU6OmPb0d8u7PoUgXqxMEIBeReNk9OIlp7wffKSMG2zGo3/2k7YIjH3d6w==
6485 361 2021-06-21T07:00:13.130Z 2021-06-21T07:00:12.770Z 22aabe128e60426bd2f4955ec4f1e6770ae1aa288ffc8038128a70c231bdb314 22aabe128e60426bd2f4955ec4f1e6770ae1aa288ffc8038128a70c231bdb314 22aabe128e60426bd2f4955ec4f1e6770ae1aa288ffc8038128a70c231bdb314 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 360 028e11d7a5fa0bd74e180ffa332eb023b331b46d55be25737ec9a4bf6e502b6d22 0357b82e8dc70b13f3b9397baaed99fdf06e8d55bffc2cb1057de24bf057cc67d1 raG6gstnHAQLE+/o1ukd6BJTOt303kahcnXBR71f7KSk+GaYdG3QFUQfXfUM3zYxepobiS7HGecikL05VEoB/A== 22aabe128e60426bd2f4955ec4f1e6770ae1aa288ffc8038128a70c231bdb314 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ueJLAMriakg2KK79+Yp37mLo3vlsCPQEb9fhIkt0PEqdz5hkCJtmdyrZgtb8qO/KRKM7T4EnobLdmfjFi18QXQ== HWQY9sS2xqB7CXfbcqnsnRh6ax1k52r0zQCChlwIk/YPriKOVtr5vUlUiO377WniLX6x4Zs1vRQCdwPkD6qRRw==
6486 361 2021-06-21T07:00:14.754Z 2021-06-21T07:00:14.557Z 9ee26ac85fc0b88c9c2439f3630d85e0de99c0f3a41fc4af8f74446d052323f5 9ee26ac85fc0b88c9c2439f3630d85e0de99c0f3a41fc4af8f74446d052323f5 9ee26ac85fc0b88c9c2439f3630d85e0de99c0f3a41fc4af8f74446d052323f5 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 360 020aa36faac3d5e3a2c31f57eb58061992dfb6f50ad0218f850ecd14160f9063c4 02d196474a3e7470ad5686452472b59f6124c26a51659fee1bfae7cb9d61f1bd5f tVF1TzBY/O6OHH8aUxS2E1tcM3lEPFQiGqIrunDxE4GbcEk5qPZlqa1U/XUNo8yE5DveHOQlaspJbYuku+liAQ== 9ee26ac85fc0b88c9c2439f3630d85e0de99c0f3a41fc4af8f74446d052323f5 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 O4EgrjauNpC2vFPhuzx0O+l/mHLlt2CbMdFSVD+uw/vC/LxGs9PAZQGT/31W1ZxyeXyQdRPPBN+BEeddeB87BA== EFTYHJKAfcxIUf8GQ1DqXo03+/N8AX+oSQYDQcZxg1eMJhLZIrhhjm08sSynCpw/CQDBWPuyifsSEiO6Ox2u9w==
6487 361 2021-06-21T07:00:17.589Z 2021-06-21T07:00:17.397Z b5bb3758e1dee8324e5e4dd267ecbc4d558e504cfd339a638a94ff013b8038e6 b5bb3758e1dee8324e5e4dd267ecbc4d558e504cfd339a638a94ff013b8038e6 b5bb3758e1dee8324e5e4dd267ecbc4d558e504cfd339a638a94ff013b8038e6 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 360 03db355bc891a819a6b72cc20e77c7dbcc675c5cab1fe7b069aada1346a9b7dd8b 0399b867e7897eba3f4f7719bcbd5eb0aee02f2cf09bffdd5f0ab2e4e71b9f06e5 Rlysa+i8OkYvSu43YFJdijk9xCWDkyQU+OTI+XwTd0K9+x6LMqFQDdFVVgHSY+KKVXAyjx+6MV/1EvlRe+xzRQ== b5bb3758e1dee8324e5e4dd267ecbc4d558e504cfd339a638a94ff013b8038e6 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 v8E8o7ehmUF+WOk8f+s5E0UWaHLM2sCkxSOrz2n5hA/IokpJoqBSTzbqvF9SOKBaUR8vfYw8kA+vYKB15TcNsA== sEQbNap8n2uvreGnW3tRCfVPyIYVw3CDpIAfMP6/e9QcmFpJf+laWmUmgM9qvNhQkkGEDQOMHWdRcSUnh05Lrw==
6488 361 2021-06-21T07:00:17.685Z 2021-06-21T07:00:17.467Z 5bdcee2e4cc6d6ea059b7494c137bb9bbb4a4ba0fc5aa1539b0318a09239de53 5bdcee2e4cc6d6ea059b7494c137bb9bbb4a4ba0fc5aa1539b0318a09239de53 5bdcee2e4cc6d6ea059b7494c137bb9bbb4a4ba0fc5aa1539b0318a09239de53 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 360 036a8c4cd058a66d9e876887b87171e2ec1f8e34d7ea93a26653db154428ff3675 02a3d477fade005a142224bc861aa6b17bc369f80df3c6cbc3a35785439d04c131 bfThGNVHNnR4r66QBVotEvkRAUk6YRF+tuYUJAPSvVGoJmW6jI+zM818Z4AtSzI5hwNO8FVwzah5ApYsVXVkyg== 5bdcee2e4cc6d6ea059b7494c137bb9bbb4a4ba0fc5aa1539b0318a09239de53 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 M0zoCfrA3lPrvOOhRBmnNtdXAccYflkEFg7YBIAWORNBWNdMrJvjESOR+TmBGfTMKjI0Lx84syZqobtH+9nGNg== FW3nbJlsVaIT423oN1T+OwGauxvznzU4KHFKxMGCw9t6NaJ9pkfG7/yOtYWZM2FG4G8/nfxaGz/JqKES7nkwKw==
6489 361 2021-06-21T07:00:33.608Z 2021-06-21T07:00:33.294Z 4e95650f3fd7cc3981b8914edc17ccb9f40f13e2815b5aae1488780b9dfaa2ed 4e95650f3fd7cc3981b8914edc17ccb9f40f13e2815b5aae1488780b9dfaa2ed 4e95650f3fd7cc3981b8914edc17ccb9f40f13e2815b5aae1488780b9dfaa2ed 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 360 0362311b39717559ea77534a78d0bdad2fa3fc33be6ee2b26d6b44799f620992b1 030dea6acbe998029d46b35f32c7a170c4b8308af41ab923e4a3bcafcd197aaed2 8btxsuBSkW9D0rhBRZl6eLVe7OJqUE+RQF9e1OkqWVCmN9u3W6NRKPCzGVvkjpjBgsO2FSjdVfrz5B9BkC7xhA== 4e95650f3fd7cc3981b8914edc17ccb9f40f13e2815b5aae1488780b9dfaa2ed 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 J8R6l98P2O3knaTxVWX7tb237XBIWUQhxDbmkfkBwkn/ikszZzaEx0ec//020O+bKEiemV5Vp18sS3KzxC811w== mDhn2IbDcqISauxSxVBfJsqudG9SE/KZNpT7LFOGwQdwlRpYZFNTkx73umaQ9bw6gBPEmt+PMeol/TGx/nRN6w==
6490 361 2021-06-21T07:01:13.852Z 2021-06-21T07:01:11.880Z 777066c0d61314385389c62fa5668fb742a9a7ee9cb8c8a4318f4e144fcf15fc 5af414b988455c846415db9c1540795c13deb1cdb558c210473c655cb48b7a84 2be16029f406f4a33801285a1dab0108a25e0830719ff56c959f817e49fe8af9 ad356b1e003d37c82d3f8cd1c17f86a16453e5999cc9b0b3188e23d426f99d45 181d040311aa8f245f8d92f9c3d06499398b5fc895f21ee672aa80bb092c8575 AME 2 028e8bd547e9f156ea619d4be16d7e9e9108366f87a11ed19a3fafd42814692929 034ac246481784024c3c2b7a1f11d13d6683cb3cda8401ac15760f48b9593c5bbb 7hP02ZkMm9/XBEMw0kkE88dNzdeDFQBYLIJ188DNDQmv+dfGhMUkleq2IcHyGE1mxLSnLZAB5WHwtKr4TgJGhg== ad356b1e003d37c82d3f8cd1c17f86a16453e5999cc9b0b3188e23d426f99d45 Kw0g7LQGIengg7uRb5uwCjnnf+XW5mIpF7XMltl5VookCq2qLyvlvz3JDFJFpktxmJODIpONGmOy1GjG0QnKHw== 8MZGuhonxn6N1fQvYMtmMk/R0/km0eJvCBots4smX5QKQHyIent2PSUim2BB3TlYk9xtRae9z2hAlQGs5mNq4A== UxQ7iMjsDtxxI8S3LEbC/DLsES7hiAfDPWdoTCNTI/DXVRZPxO/jFgmqzDi9q9Q5BzUsg0BNxyUoqSe8ZaMgXw==
